attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
36.0,4.65,14.25,13.09,5.55,15.66,7.44,3.09,8.23,9.47,9.58
38.0,4.81,17.09,29.53,8.91,15.78,17.34,2.05,10.37,11.78,10.54
40.0,9.64,21.72,46.38,4.04,3.46,18.51,20.67,11.92,25.43


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,0.0,0.0,0.0,11.67,0.0,0.01,0.02,4.84,0.01,0.02
2.0,13.53,0.0,0.01,10.25,10.54,0.0,0.0,0.45,0.0,0.02
4.0,9.1,0.0,0.0,7.31,8.15,0.0,0.02,2.35,0.0,0.0
6.0,4.56,0.01,0.16,9.23,12.1,0.83,0.0,14.83,0.0,0.04
8.0,7.75,0.0,0.02,2.63,1.25,0.0,0.0,8.53,0.0,0.03
10.0,12.42,0.01,0.0,0.0,11.22,0.0,0.01,7.42,0.02,0.04
12.0,7.36,0.0,0.02,9.23,4.61,0.0,0.0,0.49,0.0,0.02
14.0,1.67,0.0,0.0,5.26,10.25,0.01,0.0,7.03,0.0,0.01
16.0,11.74,0.01,0.04,13.6,13.88,0.0,0.01,2.3,0.01,0.03
18.0,8.47,0.0,0.0,11.39,6.14,5.54,0.0,0.0,0.0,0.04
20.0,6.99,0.01,0.02,6.05,9.33,0.0,0.03,4.49,0.02,0.18
22.0,7.71,0.0,0.0,22.61,13.04,0.0,0.0,8.54,0.0,0.01
24.0,15.99,0.01,0.13,6.23,3.67,0.02,0.02,2.26,0.0,0.02
26.0,3.87,0.0,0.05,20.86,7.56,0.84,0.0,12.45,0.01,2.86
28.0,2.5,0.02,0.03,1.96,7.0,2.67,0.04,0.0,0.06,25.57
30.0,3.96,0.0,0.03,6.93,1.75,2.67,0.01,5.13,0.0,17.67
32.0,3.55,7.55,0.01,18.85,3.13,0.06,0.03,11.87,0.06,4.17
34.0,16.38,0.02,0.2,3.46,6.28,0.09,0.52,4.1,0.0,16.79
36.0,3.7,0.03,0.02,14.17,0.75,0.04,11.44,15.55,0.01,4.17
38.0,8.49,0.01,12.22,7.64,12.68,0.86,2.51,5.5,0.07,3.94
40.0,0.0,0.01,1.05,20.86,0.0,6.23,6.75,17.79,4.36


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0
40.0,0.0,0.0,4.21,0.0,0.0,0.02,0.0,0.0,0.41


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,0.0,511.64,209.35,0.0,0.0,777.05,541.3,0.0,531.31,84.69
2.0,0.0,481.6,227.4,0.0,0.0,813.0,538.95,113.1,514.45,128.35
4.0,0.0,510.5,181.95,0.0,0.0,803.55,528.3,119.26,554.5,186.4
6.0,0.0,507.63,37.75,0.0,0.0,349.15,532.3,57.2,528.22,175.85
8.0,0.0,508.6,55.0,0.0,0.0,812.7,524.25,66.45,522.75,161.8
10.0,0.0,413.58,198.7,0.0,0.0,812.2,525.8,58.75,507.11,151.28
12.0,0.0,240.15,127.8,0.0,0.0,812.35,493.45,126.45,543.6,143.2
14.0,0.0,212.95,88.35,0.0,0.0,816.75,456.61,31.7,507.8,150.55
16.0,0.0,137.35,109.0,0.0,0.0,783.55,467.5,122.4,512.3,134.0
18.0,0.0,263.11,120.25,0.0,0.0,648.58,445.7,121.37,462.79,143.1
20.0,0.0,374.6,174.1,0.0,0.0,697.45,345.05,56.2,458.45,83.6
22.0,0.0,394.75,166.8,0.0,0.0,623.75,321.95,83.67,421.7,40.37
24.0,0.0,265.68,35.2,0.0,0.0,484.05,354.05,14.05,327.95,81.35
26.0,0.0,208.9,31.9,0.0,0.0,312.85,156.0,0.32,298.15,97.47
28.0,0.0,194.4,33.4,0.0,0.0,16.5,213.45,16.4,203.8,36.75
30.0,0.0,139.05,26.65,0.0,0.0,8.85,154.74,24.55,151.53,0.0
32.0,0.0,40.8,26.7,0.0,0.0,131.45,85.0,16.7,57.25,0.0
34.0,0.0,23.25,18.7,0.0,0.0,63.95,55.9,10.1,51.85,0.0
36.0,0.0,39.25,14.0,0.0,0.0,52.15,0.0,6.42,40.15,0.0
38.0,0.0,28.47,0.0,0.0,0.0,33.15,16.58,0.64,16.0,0.0
40.0,0.0,24.11,0.0,0.0,0.0,12.71,10.0,0.0,12.47


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,280.5,424.93,127.6,172.89,580.67,121.6,508.15,0.0,190.75,607.63
2.0,279.3,441.45,290.35,172.0,575.75,103.05,506.1,0.0,223.25,515.7
4.0,278.5,426.4,838.45,172.39,585.61,142.55,508.25,7.79,155.25,638.0
6.0,275.16,482.79,825.4,171.95,585.35,188.6,509.25,757.7,188.94,650.45
8.0,269.45,493.45,727.2,160.84,575.8,198.0,483.75,210.15,227.35,655.9
10.0,266.25,388.84,770.55,167.8,562.3,159.15,479.45,0.0,242.67,648.11
12.0,268.5,296.7,787.2,167.06,526.63,96.0,500.45,0.0,180.75,541.05
14.0,258.95,218.4,801.45,167.58,541.3,68.4,461.22,0.0,269.4,645.2
16.0,235.7,341.7,789.85,167.1,505.21,70.55,450.2,0.0,203.8,638.0
18.0,223.65,297.16,705.2,165.05,416.53,73.32,420.4,0.0,351.84,632.25
20.0,157.47,42.15,638.0,135.95,359.11,135.65,382.85,0.0,236.35,576.75
22.0,138.15,35.95,632.35,0.0,284.45,116.6,329.7,0.0,257.7,349.68
24.0,114.5,146.89,313.4,0.0,252.75,47.2,265.65,241.15,289.25,413.35
26.0,85.17,210.65,426.85,0.0,173.75,42.55,179.25,244.0,292.45,212.27
28.0,58.1,142.15,0.0,0.0,106.8,24.5,69.9,44.7,163.35,0.0
30.0,31.1,129.65,71.45,0.0,45.0,19.55,21.32,0.0,79.05,0.0
32.0,12.16,60.45,81.55,0.0,39.37,33.35,42.39,65.9,51.7,0.0
34.0,0.0,34.2,38.7,0.0,35.8,18.6,5.15,62.0,47.95,0.0
36.0,0.0,39.4,25.55,0.0,14.58,10.75,45.17,0.0,42.75,0.0
38.0,0.0,24.35,16.11,0.0,4.64,10.55,17.47,0.0,12.8,0.0
40.0,0.0,17.67,3.21,0.0,0.0,2.47,5.89,0.0,12.89


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,280.5,936.57,336.95,172.89,580.67,898.65,1049.45,0.0,722.06,692.31
2.0,279.3,923.05,517.75,172.0,575.75,916.05,1045.05,113.1,737.7,644.05
4.0,278.5,936.9,1020.4,172.39,585.61,946.1,1036.55,127.05,709.75,824.4
6.0,275.16,990.42,863.15,171.95,585.35,537.75,1041.55,814.9,717.17,826.3
8.0,269.45,1002.05,782.2,160.84,575.8,1010.7,1008.0,276.6,750.1,817.7
10.0,266.25,802.42,969.25,167.8,562.3,971.35,1005.25,58.75,749.78,799.39
12.0,268.5,536.85,915.0,167.06,526.63,908.35,993.9,126.45,724.35,684.25
14.0,258.95,431.35,889.8,167.58,541.3,885.15,917.83,31.7,777.2,795.75
16.0,235.7,479.05,898.85,167.1,505.21,854.1,917.7,122.4,716.1,772.0
18.0,223.65,560.26,825.45,165.05,416.53,721.89,866.1,121.37,814.63,775.35
20.0,157.47,416.75,812.1,135.95,359.11,833.1,727.9,56.2,694.8,660.35
22.0,138.15,430.7,799.15,0.0,284.45,740.35,651.65,83.67,679.4,390.05
24.0,114.5,412.58,348.6,0.0,252.75,531.25,619.7,255.2,617.2,494.7
26.0,85.17,419.55,458.75,0.0,173.75,355.4,335.25,244.32,590.6,309.73
28.0,58.1,336.55,33.4,0.0,106.8,41.0,283.35,61.1,367.15,36.75
30.0,31.1,268.7,98.1,0.0,45.0,28.4,176.05,24.55,230.58,0.0
32.0,12.16,101.25,108.25,0.0,39.37,164.8,127.39,82.6,108.95,0.0
34.0,0.0,57.45,57.4,0.0,35.8,82.55,61.05,72.1,99.8,0.0
36.0,0.0,78.65,39.55,0.0,14.58,62.9,45.17,6.42,82.9,0.0
38.0,0.0,52.82,16.11,0.0,4.64,43.7,34.05,0.64,28.8,0.0
40.0,0.0,41.78,3.21,0.0,0.0,15.18,15.89,0.0,25.37


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,-32.4,-23.23,-22.99,-29.72,-28.03,-24.3,-23.37,-32.43,-23.54,-26.77
2.0,-31.59,-23.52,-23.35,-31.16,-30.74,-24.3,-22.73,-24.63,-23.54,-24.84
4.0,-29.71,-23.15,-22.73,-29.23,-31.15,-23.79,-22.68,-23.54,-23.12,-24.62
6.0,-30.03,-23.3,-28.9,-30.95,-30.41,-25.32,-22.73,-26.47,-23.12,-25.13
8.0,-28.61,-23.77,-27.46,-30.56,-28.94,-23.93,-21.7,-25.94,-23.37,-24.24
10.0,-31.21,-22.93,-22.62,-30.09,-27.98,-23.23,-19.62,-25.07,-23.08,-23.5
12.0,-29.82,-21.61,-23.54,-30.62,-31.48,-22.44,-19.87,-21.82,-21.35,-23.09
14.0,-29.55,-21.05,-23.16,-30.13,-31.17,-22.06,-19.81,-26.86,-20.73,-22.59
16.0,-28.01,-24.79,-22.79,-30.74,-26.81,-22.03,-18.68,-20.82,-21.16,-21.87
18.0,-26.41,-21.14,-20.02,-28.35,-27.99,-20.57,-17.93,-21.19,-19.39,-20.46
20.0,-24.14,-17.66,-18.02,-27.32,-25.77,-18.12,-16.46,-22.66,-18.21,-21.32
22.0,-28.2,-17.29,-15.96,-27.73,-28.36,-17.34,-13.69,-20.02,-17.54,-19.05
24.0,-24.91,-14.31,-20.61,-24.62,-27.57,-13.47,-12.32,-22.18,-15.09,-17.34
26.0,-27.38,-12.78,-22.55,-23.41,-23.49,-13.03,-10.27,-22.85,-13.64,-15.54
28.0,-23.88,-11.1,-7.64,-24.8,-27.19,-15.96,-7.95,-14.06,-11.93,-22.08
30.0,-22.96,-8.17,-8.8,-21.26,-24.56,-14.08,-7.19,-10.32,-12.33,-24.87
32.0,-19.44,-9.35,-10.14,-18.17,-21.68,-7.54,-5.72,-13.5,-10.12,-19.84
34.0,-16.27,-10.37,-6.29,-18.06,-15.99,-10.13,-8.13,-13.38,-8.0,-13.96
